time,进水流量,进水COD,进水SS,进水TP,进水TN,进水NH3,进水温度,进水ph,MLSS_2#A,MLSS_2#B,MLSS_3#,DO_2#A,DO_2#B,DO_3#,内回流量_2#A,内回流量_2#B,内回流量_3#,外回流量_2#A,外回流量_2#B,外回流量_3#,出水流量,出水COD,出水TP,出水TN,出水NH3
2018/12/4 0:00,403817,381,183,6.03,33.2,23.5,20,7.2,8129,7489,7348,4.133333333,4.233333333,4.133333333,381607.065,381607.065,327091.77,141335.95,141335.95,121145.1,399121,33,0.06,6.04,0.07
2018/12/4 1:00,404671,396,199,6.27,34.6,24.6,20,7.2,8164.6875,7564.4375,7299.25,4.116666667,4.2125,4.11875,382414.3313,382414.3313,327783.7125,141634.9375,141634.9375,121401.375,399987,32,0.06,6.05,0.07
2018/12/4 2:00,405098,404,207,6.39,35.3,25.1,20,7.2,8182.53125,7602.15625,7274.875,4.108333333,4.202083333,4.111458333,382817.9644,382817.9644,328129.6838,141784.4313,141784.4313,121529.5125,400420,32,0.06,6.05,0.07
2018/12/4 3:00,405526,411,215,6.5,36.1,25.7,20,7.2,8200.375,7639.875,7250.5,4.1,4.191666667,4.104166667,383221.5975,383221.5975,328475.655,141933.925,141933.925,121657.65,400853,32,0.06,6.05,0.07
2018/12/4 4:00,406380,427,231,6.74,37.5,26.7,20,7.2,8236.0625,7715.3125,7201.75,4.083333333,4.170833333,4.089583333,384028.8638,384028.8638,329167.5975,142232.9125,142232.9125,121913.925,401719,31,0.06,6.06,0.07
2018/12/4 5:00,406807,434,239,6.86,38.2,27.3,20,7.2,8253.90625,7753.03125,7177.375,4.075,4.160416667,4.082291667,384432.4969,384432.4969,329513.5688,142382.4063,142382.4063,122042.0625,402152,31,0.06,6.06,0.07
2018/12/4 6:00,407234,442,247,6.98,38.9,27.8,20,7.2,8271.75,7790.75,7153,4.066666667,4.15,4.075,384836.13,384836.13,329859.54,142531.9,142531.9,122170.2,402585,30,0.06,6.07,0.07
2018/12/4 7:00,408088,457,263,7.21,40.4,28.9,19,7.2,8307.4375,7866.1875,7104.25,4.05,4.129166667,4.060416667,385643.3963,385643.3963,330551.4825,142830.8875,142830.8875,122426.475,403451,30,0.06,6.07,0.07
2018/12/4 8:00,408515,465,271,7.33,41.1,29.4,19,7.2,8325.28125,7903.90625,7079.875,4.041666667,4.11875,4.053125,386047.0294,386047.0294,330897.4538,142980.3813,142980.3813,122554.6125,403884,29,0.06,6.07,0.07
2018/12/4 9:00,408943,472,279,7.45,41.8,30,19,7.2,8343.125,7941.625,7055.5,4.033333333,4.108333333,4.045833333,386450.6625,386450.6625,331243.425,143129.875,143129.875,122682.75,404317,29,0.06,6.08,0.07
2018/12/4 10:00,409797,487,295,7.69,43.2,31.1,19,7.2,8378.8125,8017.0625,7006.75,4.016666667,4.0875,4.03125,387257.9288,387257.9288,331935.3675,143428.8625,143428.8625,122939.025,405183,28,0.06,6.08,0.07
2018/12/4 11:00,410224,495,303,7.81,43.9,31.6,19,7.2,8396.65625,8054.78125,6982.375,4.008333333,4.077083333,4.023958333,387661.5619,387661.5619,332281.3388,143578.3563,143578.3563,123067.1625,405616,28,0.06,6.09,0.07
2018/12/4 12:00,410651,503,312,7.93,44.7,32.2,19,7.2,8414.5,8092.5,6958,4,4.066666667,4.016666667,388065.195,388065.195,332627.31,143727.85,143727.85,123195.3,406049,28,0.06,6.09,0.07
2018/12/4 13:00,411505,518,328,8.16,46.1,33.2,19,7.1,8450.1875,8167.9375,6909.25,3.983333333,4.045833333,4.002083333,388872.4613,388872.4613,333319.2525,144026.8375,144026.8375,123451.575,406914,27,0.05,6.1,0.07
2018/12/4 14:00,411932,525,336,8.28,46.8,33.8,19,7.1,8468.03125,8205.65625,6884.875,3.975,4.035416667,3.994791667,389276.0944,389276.0944,333665.2238,144176.3313,144176.3313,123579.7125,407347,26,0.05,6.1,0.07
2018/12/4 15:00,412360,533,344,8.4,47.5,34.3,19,7.1,8485.875,8243.375,6860.5,3.966666667,4.025,3.9875,389679.7275,389679.7275,334011.195,144325.825,144325.825,123707.85,407780,26,0.05,6.1,0.07
2018/12/4 16:00,413214,548,360,8.64,48.9,35.4,19,7.1,8521.5625,8318.8125,6811.75,3.95,4.004166667,3.972916667,390486.9938,390486.9938,334703.1375,144624.8125,144624.8125,123964.125,408646,25,0.05,6.11,0.07
2018/12/4 17:00,413641,556,368,8.75,49.7,35.9,19,7.1,8539.40625,8356.53125,6787.375,3.941666667,3.99375,3.965625,390890.6269,390890.6269,335049.1088,144774.3063,144774.3063,124092.2625,409079,25,0.05,6.11,0.07
2018/12/4 18:00,414068,563,376,8.87,50.4,36.5,19,7.1,8557.25,8394.25,6763,3.933333333,3.983333333,3.958333333,391294.26,391294.26,335395.08,144923.8,144923.8,124220.4,409512,25,0.05,6.12,0.07
2018/12/4 19:00,414922,578,392,9.11,51.8,37.6,18,7.1,8592.9375,8469.6875,6714.25,3.916666667,3.9625,3.94375,392101.5263,392101.5263,336087.0225,145222.7875,145222.7875,124476.675,410378,24,0.05,6.12,0.07
2018/12/4 20:00,415349,586,400,9.23,52.5,38.1,18,7.1,8610.78125,8507.40625,6689.875,3.908333333,3.952083333,3.936458333,392505.1594,392505.1594,336432.9938,145372.2813,145372.2813,124604.8125,410811,24,0.05,6.12,0.07
2018/12/4 21:00,415777,594,408,9.35,53.2,38.6,18,7.1,8628.625,8545.125,6665.5,3.9,3.941666667,3.929166667,392908.7925,392908.7925,336778.965,145521.775,145521.775,124732.95,411244,23,0.05,6.13,0.07
