,进水流量,进水COD,进水SS,进水TP,进水TN,进水NH3,进水温度,进水ph,MLSS_2#A,MLSS_2#B,MLSS_3#,DO_2#A,DO_2#B,DO_3#,内回流量_2#A,内回流量_2#B,内回流量_3#,外回流量_2#A,外回流量_2#B,外回流量_3#,出水流量,出水COD,出水TP,出水TN,出水NH3
0,-0.9608425310355214,-1.0,-1.0,-0.7628635346756152,-1.0,-0.7653061224489794,0.33333333333333326,1.0,-0.08143939393939392,-0.4855384615384616,1.0,1.0,0.6842105261495854,1.0,-0.9608425310355209,-0.9608425310355209,-0.9608425310355195,-0.9608425310355214,-0.9608425310355214,-0.9608425310355214,-0.9735266985604875,1.0,1.0,-0.6856187290969902,-1.0
1,-0.9240947524688569,-0.9456521739130435,-0.9481361426256077,-0.70917225950783,-0.9211267605633804,-0.6530612244897956,0.33333333333333326,1.0,-0.013849431818181768,-0.3926923076923077,0.9275092936802973,0.9696969709090895,0.6184210534833814,0.9204545471280992,-0.9240839926457074,-0.9240839926457074,-0.924083994922436,-0.9240839949224395,-0.9240839949224395,-0.9240839949224389,-0.9363696822774763,0.8999999999999999,1.0,-0.678929765886288,-1.0
2,-0.9057208631855247,-0.9166666666666666,-0.9222042139384117,-0.6823266219239374,-0.8816901408450708,-0.6020408163265303,0.33333333333333326,1.0,0.01994554924242431,-0.3462692307692308,0.8912639405204461,0.9545454545454539,0.5855263155713304,0.8806818179648732,-0.9057047257275315,-0.9057047257275315,-0.9057047242097113,-0.9057047207187289,-0.9057047207187289,-0.9057047268658975,-0.9177911741359707,0.8999999999999999,1.0,-0.678929765886288,-1.0
3,-0.8873039437165171,-0.8913043478260869,-0.8962722852512156,-0.6577181208053691,-0.8366197183098593,-0.5408163265306122,0.33333333333333326,1.0,0.053740530303030276,-0.2998461538461539,0.8550185873605949,0.9393939399999987,0.5526315808171745,0.8409090942561981,-0.8873254588093555,-0.8873254588093555,-0.8873254588093524,-0.8873254588093575,-0.8873254588093575,-0.8873254588093563,-0.899212665994465,0.8999999999999999,1.0,-0.678929765886288,-1.0
4,-0.8505561651498527,-0.8333333333333334,-0.8444084278768234,-0.6040268456375839,-0.7577464788732395,-0.43877551020408156,0.33333333333333326,1.0,0.12133049242424243,-0.20699999999999996,0.7825278810408922,0.9090909090909078,0.48684210499307556,0.7613636359297513,-0.8505669204195421,-0.8505669204195421,-0.8505669226962719,-0.8505669226962721,-0.8505669226962721,-0.8505669226962717,-0.8620556497114539,0.8,1.0,-0.6722408026755857,-1.0
5,-0.8321822758665204,-0.8079710144927537,-0.8184764991896272,-0.5771812080536912,-0.7183098591549295,-0.377551020408163,0.33333333333333326,1.0,0.1551254734848484,-0.16057692307692306,0.746282527881041,0.8939393945454541,0.4539473702389196,0.7215909122210715,-0.8321876535013635,-0.8321876535013635,-0.8321876519835442,-0.8321876484925614,-0.8321876484925614,-0.8321876546397304,-0.8434771415699482,0.8,1.0,-0.6722408026755857,-1.0
6,-0.8138083865831881,-0.7789855072463768,-0.7925445705024311,-0.5503355704697985,-0.6788732394366199,-0.32653061224489777,0.33333333333333326,1.0,0.18892045454545459,-0.11415384615384616,0.7100371747211895,0.8787878799999991,0.4210526323268715,0.6818181830578505,-0.8138083865831875,-0.8138083865831875,-0.8138083865831883,-0.8138083865831902,-0.8138083865831902,-0.8138083865831891,-0.8248986334284427,0.7,1.0,-0.6655518394648829,-1.0
7,-0.7770606080165237,-0.7246376811594203,-0.7406807131280388,-0.4988814317673378,-0.5943661971830989,-0.2142857142857143,-0.33333333333333337,1.0,0.25651041666666674,-0.02130769230769236,0.6375464684014871,0.848484849090908,0.3552631596606646,0.6022727301859496,-0.7770498481933741,-0.7770498481933741,-0.7770498504701047,-0.7770498504701047,-0.7770498504701047,-0.7770498504701044,-0.7877416171454316,0.7,1.0,-0.6655518394648829,-1.0
8,-0.7586867187331914,-0.6956521739130435,-0.7147487844408428,-0.4720357941834452,-0.5549295774647889,-0.16326530612244894,-0.33333333333333337,1.0,0.2903053977272727,0.02511538461538465,0.6013011152416357,0.8333333345454546,0.32236842174861646,0.5625000010227237,-0.7586705812751982,-0.7586705812751982,-0.758670579757377,-0.7586705762663941,-0.7586705762663941,-0.7586705824135632,-0.7691631090039259,0.6000000000000001,1.0,-0.6655518394648829,-1.0
9,-0.7402697992641838,-0.6702898550724637,-0.6888168557536467,-0.4451901565995525,-0.5154929577464792,-0.10204081632653039,-0.33333333333333337,1.0,0.3241003787878789,0.07153846153846155,0.5650557620817844,0.8181818181818172,0.2894736838365657,0.5227272718595026,-0.7402913143570222,-0.7402913143570222,-0.7402913143570211,-0.7402913143570228,-0.7402913143570228,-0.740291314357022,-0.7505846008624204,0.6000000000000001,1.0,-0.6588628762541808,-1.0
